Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,7.250000,7.440000,7.000000,7.020000,6.573723,125600
2016-05-24,7.100000,7.170000,7.080000,7.120000,6.667366,38509
2016-05-25,7.140000,7.250000,7.140000,7.180000,6.723551,24409
2016-05-26,7.280000,7.390000,7.210000,7.390000,6.920201,37123
2016-05-27,7.460000,7.650000,7.460000,7.640000,7.154308,48215
2016-05-30,7.900000,7.940000,7.800000,7.900000,7.397779,59505
2016-05-31,7.940000,7.970000,7.830000,7.850000,7.350958,49494
2016-06-01,7.930000,7.930000,7.400000,7.510000,7.032573,21410
2016-06-02,7.510000,7.660000,7.460000,7.460000,6.985752,7117
2016-06-03,7.590000,7.590000,7.400000,7.450000,6.976387,13847
2016-06-06,7.470000,7.470000,7.300000,7.350000,6.882744,13503
2016-06-07,7.350000,7.400000,7.310000,7.340000,6.873380,1912
2016-06-08,7.450000,7.450000,7.400000,7.400000,6.929566,2297
2016-06-09,7.450000,7.450000,7.400000,7.400000,6.929566,1367
2016-06-10,7.400000,7.480000,7.390000,7.390000,6.920201,3998
2016-06-13,7.440000,7.440000,7.300000,7.400000,6.929566,9192
2016-06-14,7.350000,7.360000,7.300000,7.300000,6.835924,3961
2016-06-15,7.300000,7.300000,7.160000,7.220000,6.761008,18727
2016-06-16,7.200000,7.300000,7.200000,7.250000,6.789102,7064
2016-06-17,7.220000,7.290000,7.200000,7.210000,6.751645,1889
2016-06-20,7.200000,7.270000,7.160000,7.260000,6.798466,14645
2016-06-21,7.300000,7.300000,7.240000,7.260000,6.798466,8822
2016-06-22,7.270000,7.270000,7.190000,7.250000,6.789102,5138
2016-06-27,7.140000,7.180000,7.110000,7.150000,6.695459,26882
2016-06-28,7.150000,7.300000,7.150000,7.250000,6.789102,5829
2016-06-29,7.240000,7.280000,7.180000,7.200000,6.742280,11210
2016-06-30,7.220000,7.250000,7.200000,7.200000,6.742280,2396
2016-07-01,7.200000,7.260000,7.180000,7.250000,6.789102,6207
2016-07-04,7.280000,7.280000,7.200000,7.240000,6.779737,629
2016-07-05,7.250000,7.250000,7.200000,7.240000,6.779737,2375
2016-07-06,7.230000,7.250000,7.210000,7.230000,6.770373,3364
2016-07-07,7.230000,7.230000,7.210000,7.230000,6.770373,1495
2016-07-08,7.230000,7.230000,7.210000,7.230000,6.770373,1597
2016-07-11,7.250000,7.250000,7.210000,7.250000,6.789102,4732
2016-07-12,7.220000,7.250000,7.210000,7.210000,6.751645,5578
2016-07-13,7.240000,7.260000,7.230000,7.250000,6.789102,3139
2016-07-14,7.250000,7.250000,7.230000,7.250000,6.789102,2853
2016-07-15,7.250000,7.280000,7.250000,7.280000,6.817194,2741
2016-07-18,7.250000,7.300000,7.250000,7.300000,6.835924,1781
2016-07-19,7.330000,7.440000,7.330000,7.440000,6.967023,5099
2016-07-20,7.440000,7.440000,7.300000,7.400000,6.929566,1846
2016-07-21,7.390000,7.390000,7.270000,7.270000,6.807830,1225
2016-07-22,7.260000,7.300000,7.250000,7.300000,6.835924,8973
2016-07-25,7.240000,7.240000,7.210000,7.220000,6.761008,2933
2016-07-26,7.220000,7.300000,7.220000,7.220000,6.761008,982
2016-07-27,7.220000,7.270000,7.220000,7.220000,6.761008,1125
2016-07-28,7.240000,7.250000,7.240000,7.240000,6.779737,1011
2016-07-29,7.250000,7.300000,7.250000,7.300000,6.835924,1755
2016-08-01,7.220000,7.300000,7.210000,7.300000,6.835924,938
2016-08-02,7.300000,7.300000,7.220000,7.240000,6.779737,3149
2016-08-03,7.240000,7.300000,7.210000,7.220000,6.761008,3114
2016-08-04,7.220000,7.280000,7.220000,7.280000,6.817194,417
2016-08-05,7.280000,7.280000,7.220000,7.250000,6.789102,3455
2016-08-08,7.250000,7.260000,7.250000,7.250000,6.789102,111
2016-08-09,7.230000,7.260000,7.210000,7.210000,6.751645,2614
2016-08-10,7.250000,7.260000,7.250000,7.260000,6.798466,2426
2016-08-11,7.260000,7.290000,7.260000,7.280000,6.817194,2027
2016-08-12,7.280000,7.290000,7.250000,7.250000,6.789102,1698
